Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_38,1688740598999,0,Pursuit,0.0666656494140625,5.56443405151367,0,0.7165548,-0.6633682,-0.2583696,0.001065297,-0.0165121,0.03302421
07_07_2023__10_36_39,1688740599016,0,Pursuit,0.0666656494140625,5.56443405151367,0,0.7165548,-0.6633682,-0.2583696,-0.002130594,-0.01704475,0.02609978
07_07_2023__10_36_39,1688740599033,0,None,0,0,0,0.7165548,-0.6633682,-0.2583696,-0.001065297,-0.02024064,0.01917535
07_07_2023__10_36_39,1688740599050,0,None,0,0,0,0.7089915,-0.6587327,-0.2573937,-0.001065297,-0.02024064,0.01917535
07_07_2023__10_36_39,1688740599066,0,None,0,0,0,0.7104554,-0.6611724,-0.2571497,0.002130594,-0.02396918,0.01704475
07_07_2023__10_36_39,1688740599083,0,None,0,0,0,0.7104554,-0.6611724,-0.2571497,0.005859133,-0.02823037,0.0175774
07_07_2023__10_36_39,1688740599099,0,None,0,0,0,0.7104554,-0.6611724,-0.2571497,0.009587673,-0.02823037,0.01811005
07_07_2023__10_36_39,1688740599116,0,None,0,0,0,0.7172867,-0.6587327,-0.2598335,0.009587673,-0.02823037,0.01811005
07_07_2023__10_36_39,1688740599133,0,None,0,0,0,0.7175307,-0.6589767,-0.2600774,0.01171827,-0.02663242,0.02024064
07_07_2023__10_36_39,1688740599150,0,None,0,0,0,0.7175307,-0.6589767,-0.2600774,0.01384886,-0.02343653,0.01811005
07_07_2023__10_36_39,1688740599166,0,None,0,0,0,0.7175307,-0.6589767,-0.2600774,0.01384886,-0.02343653,0.01811005
07_07_2023__10_36_39,1688740599184,0,None,0,0,0,0.7165548,-0.6582447,-0.2591015,0.01917535,-0.02024064,0.01597945
07_07_2023__10_36_39,1688740599200,0,Saccade,0.0333251953125,58.2005310058594,0,0.7155789,-0.6589767,-0.2578817,0.01970799,-0.01811005,0.01597945
07_07_2023__10_36_39,1688740599217,0,Saccade,0.0333251953125,58.2005310058594,0,0.7155789,-0.6589767,-0.2578817,0.01597945,-0.01917535,0.01704475
07_07_2023__10_36_39,1688740599233,0,Pursuit,0,6.29536771774292,0,0.7155789,-0.6589767,-0.2578817,0.01597945,-0.01917535,0.01704475
07_07_2023__10_36_39,1688740599250,0,Pursuit,0,6.29536771774292,0,0.7163108,-0.655073,-0.2534901,0.01384886,-0.02183859,0.01491416
07_07_2023__10_36_39,1688740599267,0,Pursuit,0.0333251953125,4.04870939254761,0,0.7172867,-0.6562929,-0.2537341,0.01171827,-0.02237124,0.01917535
